Az. Agr. Neri Silvano,aans.jpg,Frutta|Verdura,Contanti,Via Pideura 9 Brisighella,Ravenna,3397990052,,,aziendaagricolaneri@gmail.com,https://www.facebook.com/profile.php?id=100063738454583,,
Az. Agr. Biologica - Podere Cimbalona,pc.jpg,Frutta|Verdura|Formaggi|Uova|Miele|Salumi|Carne|Pasta|Farine|Pane,Contanti,Via Basiago 46 Faenza,Ravenna,3290749407,,,podere.cimbalona@gmail.com,https://www.facebook.com/poderecimbalona,https://linktr.ee/poderecimbalona,
Ca di Viazadur Farm House,cv.jpg,Verdura|Frutta,Contanti,via Sant'Andrea 91 Faenza,Ravenna,3343031821,,,cadiviazadur@gmail.com,https://www.facebook.com/cadiviazadur,https://cadiviazadur.it/,
Az. Bio Dalmonte,abd.jpg,Verdura|Confetture|Frutta,Contanti|Satispay|Carte,Via Canale Molini 2 Solarolo,Ravenna,3351771774,,,aziendabiodalmonte@gmail.com,https://www.facebook.com/aziendabiodalmonte,,
Az. Agr. Malvezza,aam.jpg,Frutta|Confetture|Succhi|Sciroppate,Contanti,Via Casolana 1210 Castelbolognese,Ravenna,3386022699,,,az.agricola.malvezza@gmail.com,https://www.facebook.com/malvezza,,
Giorgia Società Agr.,gsa.jpg,Frutta|Olio,Contanti,Via Tuliero 145 Faenza,Ravenna,3472416044,,,fam-farolfi@libero.it,https://www.facebook.com/giorgiasocieta,https://www.foodelizia.it/marketplace/seller/view/vendor/giorgia-societa-agricola,
Az. Agr. Solaroli Andrea,aasa.jpg,Vini|Saba|Confetture,Contanti,Via Maremme 11 Cotignola,Ravenna,3393046710,,,infosolaroli@gmail.com,https://aziendaagricolasolaroliandrea.it,https://www.facebook.com/people/Azienda-Agricola-Solaroli-Andrea/100039870144919/,
Agrestia Az. Agr. Biologica,aaab.jpg,Frutta|Confetture,Contanti,Via Fucaccia 80 Bertinoro,Forlì-Cesena,3485920166,,,info@agrestia.it,https://www.facebook.com/agrestiaziendagricola,https://www.agrestia.it/,
Az. Agr. Olivia,aao.jpg,Formaggi,Contanti,Via Ca' d'Orazio Gemmano,Rimini,3387419021,,,,https://www.facebook.com/p/Azienda-Agricola-Olivia-100070242304484,https://www.instagram.com/azienda.agricola.olivia,
Molari Società Agr.,msa.jpg,Vini|Frutta,Contanti,Via Cerchia di Martorano 891 Cesena,Forlì-Cesena,0547630540,,,info@vivaimolari.it,https://www.facebook.com/molariberries,http://www.vivaimolari.it/,
Godoli Az. Agr.,gaa.png,Frutta|Verdura,Contanti,Viale Bidente 162 Forlì,Forlì-Cesena,3463335424,,,,https://www.facebook.com/GodoliAziendaAgricola,,
Az. Agr. Casa Romagna,aacr.jpg,Frutta|Verdura|Confetture,Contanti,Via Cesare Battisti 83 Roncofreddo,Forlì-Cesena,3470895880,0541949200,,info@casaromagna.com,https://www.casaromagna.com,https://www.facebook.com/casaromagna.it,
Az. Agr. Capriotti,aac.jpg,Frutta|Verdura,Contanti,Via San Salvatore 10 Coriano,Rimini,3518813637,,,aziendaagricolacapriotti@outlook.it,https://www.facebook.com/agricolacapriotti,,
Az. Agr. Giorgini,aag.png,Formaggi|Carne,Contanti,Frazione ValdiPondo 72 Meldola,Forlì-Cesena,0543989277,,,aziendaagricolagiorgini@gmail.com,https://www.facebook.com/aziendaagricolagiorginimeldola,,
Az. Agr. Desidia Agricarpena,aada.jpg,Vini|Frutta|Verdura,Contanti,Via Decio raggi 398 Forlì,Forlì-Cesena,3473442634,,,desidia.agricarpena@gmail.com,https://www.facebook.com/p/Azienda-agricola-Desidia-Agricarpena-100063536682240,,
Az. Agr. Montefiori Mazzoni,aamm.jpg,Frutta|Verdura|Olio|Uova|Farine|Confetture|Formaggi|Salumi|Vini,Contanti,Via San Martino 16 Faenza,Ravenna,3534082695,,,montefiori.mazzoni@gmail.com,https://www.facebook.com/FioriFruttaVerdura,,
Apicoltura Lombardi,al.jpg,Miele,Contanti,Via Mercanta 11 Faenza,Ravenna,3458108108,054647155,,info@mielelombardi.it,https://www.mielelombardi.it,https://www.facebook.com/EducareInFattoria,https://www.instagram.com/explore/locations/700817874/apicoltura-lombardi-faenza-fattoria-didattica-ed-asineria-sociale/
Az. Agr. Persolino,aap.jpg,Frutta|Verdura|Confetture,Contanti,Via Firenze 194 Faenza,Ravenna,054622932,0546622600,054627019,aziendapersolino@gmail.com,https://www.facebook.com/agrariopersolino,https://www.persolinostrocchi.edu.it/,
Orto di Gigi,ortodigigi.jpeg,Frutta|Verdura|Succhi|Sughi|Vini,Contanti|Satispay|Bancomat,Via Boncellino 140 Bagnacavallo,Ravenna,3408059230,,,info@ortodigigi.it,https://www.ortodigigi.it,https://www.facebook.com/ortodigigi/,https://www.instagram.com/orto_di_gigi/
Primo Nato,pn.jpg,Miele,Contanti|Satispay|Bitcoin,,Ravenna,3316211905,,,mieleprimonato@gmail.com,https://instagram.com/miele_primonato,,
Caci Società Agr.,csa.png,Noci|Miele|Vini|Birra|Caffè|Biscotti,Contanti,Via Carpe 8 Imola,Bologna,3349730108,0542634803,,,https://cacisrl.it,https://www.facebook.com/caciimola,https://www.instagram.com/cacisrl/
Miele Di Romagna - Gabriele Kahlouche,mdr.jpg,Miele,Contanti|Paypal|Satispay|Bonifico|Bitcoin|Altcoin,Via Piero della Francesca 14 Faenza,Ravenna,3395405660,,,,https://www.instagram.com/mielediromagna,,
Az. Agr. Piccola Romagna,aapr.jpg,Miele|Frutta,Contanti,Via Campiuno 25 Borgo Tossignano,Bologna,3334804638,,,nicoletta.bettini@gmail.com,https://www.facebook.com/aziendaagricolapiccolaromagna,http://www.aziendaagricolapiccolaromagna.it/,
Liquori di Romagna,ldr.jpg,Liquori,Contanti,Via Rio Massa 7/A Forlì,Forlì-Cesena,3475712024,3247466091,,info@liquoridiromagna.it,https://www.liquoridiromagna.com,https://www.facebook.com/liquoridiromagna,
Zinzani Vini,zv.jpg,Vini|Saba|Confetture,Contanti,Via Casale 23 Faenza,Ravenna,3487932617,3337040543,3479458249,info@zinzanivini.it,https://www.facebook.com/zinzanivini,https://www.zinzanivini.it,https://www.instagram.com/zinzanivini
